 -----------------------------------------------
   Day        In         %
 -----------------------------------------------
     1      6.49      0.65%
     2      8.43      0.84%
     3     10.93      1.09%
     4     14.18      1.42%
     5     18.37      1.84%
     6     23.78      2.38%
     7     30.75      3.07%
     8     39.69      3.97%
     9     51.12      5.11%
    10     65.68      6.57%
    11     84.08      8.41%
    12    107.19     10.72%
    13    135.90     13.59%
    14    171.13     17.11%
    15    213.68     21.37%
    16    264.09     26.41%
    17    322.39     32.24%
    18    387.93     38.79%
    19    459.16     45.92%
    20    533.66     53.37%
